half-evil;2;1139;1134;;;;;;;
antoniofrignani;1;1137;;;;;;;;
weejames;2;1159;1149;;;;;;;
caneco;1;1154;;;;;;;;
frankmayer;1;1157;;;;;;;;
marcorivm;2;3458;1163;;;;;;;
mpmont;1;1185;;;;;;;;
Geczy;1;1208;;;;;;;;
ramon;2;1215;1214;;;;;;;
matthew-muscat;3;1246;1238;1237;;;;;;
salahaa1;5;1902;1274;1273;1272;1264;;;;
AeroCross;1;1287;;;;;;;;
mrdejong;1;1289;;;;;;;;
Zizaco;1;1291;;;;;;;;
vedovelli;1;1299;;;;;;;;
jgrossi;1;1315;;;;;;;;
paulocarvalhodesign;1;1319;;;;;;;;
longilineo;1;1323;;;;;;;;
weotch;5;1774;1766;1678;1668;1332;;;;
wishfoundry;4;1470;1469;1468;1336;;;;;
edgarnadal;1;1339;;;;;;;;
jhotujec;2;1364;1340;;;;;;;
curana;1;1342;;;;;;;;
ramirors;1;1346;;;;;;;;
chamby;1;1358;;;;;;;;
akhy;1;1361;;;;;;;;
raftalks;2;1372;1371;;;;;;;
rusdyahmad;1;1373;;;;;;;;
tgriesser;1;1378;;;;;;;;
palanglung;2;1395;1394;;;;;;;
tmnsun;1;1402;;;;;;;;
assertchris;5;3999;3985;2893;2120;1418;;;;
oleg578;2;1848;1420;;;;;;;
experience;1;1421;;;;;;;;
makr0;1;1425;;;;;;;;
denaje;1;1433;;;;;;;;
Dalamar;3;1557;1555;1442;;;;;;
clouddueling;1;1446;;;;;;;;
ezp;1;1447;;;;;;;;
johnstevenson;1;1448;;;;;;;;
sahanh;3;1667;1535;1452;;;;;;
zackangelo;1;1459;;;;;;;;
willmendesneto;2;1463;1462;;;;;;;
jaceju;1;1477;;;;;;;;
josegonzalez;2;2574;1482;;;;;;;
Jorijn;1;1486;;;;;;;;
jchaney01;1;1490;;;;;;;;
uyab;1;1499;;;;;;;;
martxel;1;1500;;;;;;;;
tunght13488;1;1505;;;;;;;;
JoelLarson;2;1507;1506;;;;;;;
marcmascarell;1;1513;;;;;;;;
wangsai;1;1515;;;;;;;;
maksimize;1;1516;;;;;;;;
robbanl;2;1522;1521;;;;;;;
paulprimaryk;2;1540;1523;;;;;;;
corean;1;1544;;;;;;;;
blackrosezy;1;1550;;;;;;;;
mhaszprunar;1;1556;;;;;;;;
signet-planet;1;1559;;;;;;;;
rhbecker;2;1627;1626;;;;;;;
GaryJones;1;1643;;;;;;;;
WhiteSpace-Strippers;1;1648;;;;;;;;
jmartinsen;1;1651;;;;;;;;
trq;1;1658;;;;;;;;
edvinaskrucas;1;1666;;;;;;;;
robclancy;1;1689;;;;;;;;
andrew13;3;1975;1704;1703;;;;;;
smallcode;1;1723;;;;;;;;
felipers;1;1726;;;;;;;;
tplaner;1;1728;;;;;;;;
miguelbgouveia;2;1908;1732;;;;;;;
karptonite;2;1790;1748;;;;;;;
robbyrice;1;1753;;;;;;;;
goldlife;1;1787;;;;;;;;
MaartenStaa;1;1796;;;;;;;;
samansoft;1;1797;;;;;;;;
stredani;1;1798;;;;;;;;
gxela;1;1817;;;;;;;;
brantmessenger;2;2214;1818;;;;;;;
Schniz;1;1826;;;;;;;;
mexitek;1;1828;;;;;;;;
honavarsohaan;1;1847;;;;;;;;
mikedfunk;1;1863;;;;;;;;
bernsie;2;2086;1874;;;;;;;
phoenixg;2;2035;1881;;;;;;;
janka;1;1884;;;;;;;;
friveroll;1;1891;;;;;;;;
up2jj;1;1892;;;;;;;;
rvavruch;1;1894;;;;;;;;
dirkpostma;1;1898;;;;;;;;
kcjpop;1;1903;;;;;;;;
BryanHeath;1;1916;;;;;;;;
hkusdaryanto;1;1919;;;;;;;;
cborgia;1;1921;;;;;;;;
schmitter;1;1923;;;;;;;;
KaneCohen;3;1980;1934;1933;;;;;;
LorenVS;1;1945;;;;;;;;
julien-c;2;1954;1953;;;;;;;
Xees;1;1956;;;;;;;;
agarzon;1;1990;;;;;;;;
warrenca;1;2004;;;;;;;;
aidai524;1;2012;;;;;;;;
ThiagoBueno;3;2030;2029;2028;;;;;;
anojszewski;1;2031;;;;;;;;
dwightwatson;2;2836;2038;;;;;;;
byordereurope;1;2039;;;;;;;;
