kanwei;1;1795;;;;;;;;;;;;;;;;;;;;;;;
mking;1;1802;;;;;;;;;;;;;;;;;;;;;;;
vincentdieltiens;1;1803;;;;;;;;;;;;;;;;;;;;;;;
amirhhz;2;1808;1807;;;;;;;;;;;;;;;;;;;;;;
robot-head;1;1810;;;;;;;;;;;;;;;;;;;;;;;
mbrowne;1;1816;;;;;;;;;;;;;;;;;;;;;;;
jbdeboer;13;7163;4901;3441;3440;3439;3435;3434;3433;3429;3243;1980;1818;1817;;;;;;;;;;;
tdarsan;1;1820;;;;;;;;;;;;;;;;;;;;;;;
davidchang;5;2382;2059;1928;1926;1829;;;;;;;;;;;;;;;;;;;
willthemoor;2;1835;1834;;;;;;;;;;;;;;;;;;;;;;
ashishgithub;2;1841;1839;;;;;;;;;;;;;;;;;;;;;;
chieffancypants;1;1850;;;;;;;;;;;;;;;;;;;;;;;
thelvey;1;1851;;;;;;;;;;;;;;;;;;;;;;;
kofalt;1;1855;;;;;;;;;;;;;;;;;;;;;;;
bitliner;1;1863;;;;;;;;;;;;;;;;;;;;;;;
sja;1;1866;;;;;;;;;;;;;;;;;;;;;;;
wgriffiths;2;1874;1868;;;;;;;;;;;;;;;;;;;;;;
vin;6;4972;3289;3060;1993;1892;1871;;;;;;;;;;;;;;;;;;
bingomanatee;1;1878;;;;;;;;;;;;;;;;;;;;;;;
just-boris;4;6734;6342;4093;1879;;;;;;;;;;;;;;;;;;;;
chicoxyzzy;2;3604;1880;;;;;;;;;;;;;;;;;;;;;;
KamranMackey;2;1884;1883;;;;;;;;;;;;;;;;;;;;;;
guillaume86;2;1890;1888;;;;;;;;;;;;;;;;;;;;;;
matasaru;4;1967;1939;1895;1894;;;;;;;;;;;;;;;;;;;;
gaiottino;1;1901;;;;;;;;;;;;;;;;;;;;;;;
kkurni;1;1906;;;;;;;;;;;;;;;;;;;;;;;
latentflip;2;1917;1909;;;;;;;;;;;;;;;;;;;;;;
raftalks;1;1912;;;;;;;;;;;;;;;;;;;;;;;
metaweta;2;6737;1914;;;;;;;;;;;;;;;;;;;;;;
daspecster;1;1923;;;;;;;;;;;;;;;;;;;;;;;
jstrachan;2;5199;1930;;;;;;;;;;;;;;;;;;;;;;
pascalm;1;1931;;;;;;;;;;;;;;;;;;;;;;;
maciejblinkbox;1;1932;;;;;;;;;;;;;;;;;;;;;;;
PowerKiKi;1;1946;;;;;;;;;;;;;;;;;;;;;;;
iknite;1;1950;;;;;;;;;;;;;;;;;;;;;;;
sam-mccall;1;1952;;;;;;;;;;;;;;;;;;;;;;;
theotheo;1;1956;;;;;;;;;;;;;;;;;;;;;;;
jorgenfb;1;1957;;;;;;;;;;;;;;;;;;;;;;;
Ivshti;1;1966;;;;;;;;;;;;;;;;;;;;;;;
cedricss;3;1985;1984;1983;;;;;;;;;;;;;;;;;;;;;
kkruit;2;1992;1990;;;;;;;;;;;;;;;;;;;;;;
ewen;1;1994;;;;;;;;;;;;;;;;;;;;;;;
jc00ke;1;1995;;;;;;;;;;;;;;;;;;;;;;;
dbrans;1;2001;;;;;;;;;;;;;;;;;;;;;;;
trotter;1;2003;;;;;;;;;;;;;;;;;;;;;;;
ThomasDeutsch;1;2008;;;;;;;;;;;;;;;;;;;;;;;
dylanpyle;1;2011;;;;;;;;;;;;;;;;;;;;;;;
felixebert;1;2026;;;;;;;;;;;;;;;;;;;;;;;
jrief;2;2055;2032;;;;;;;;;;;;;;;;;;;;;;
damycra;1;2036;;;;;;;;;;;;;;;;;;;;;;;
bholmberg;1;2043;;;;;;;;;;;;;;;;;;;;;;;
nolazybits;2;6303;2054;;;;;;;;;;;;;;;;;;;;;;
ashtuchkin;3;2084;2060;2058;;;;;;;;;;;;;;;;;;;;;
Andrew-McLeod;1;2071;;;;;;;;;;;;;;;;;;;;;;;
metamatt;2;5577;2073;;;;;;;;;;;;;;;;;;;;;;
ruprict;1;2083;;;;;;;;;;;;;;;;;;;;;;;
chrisnicola;2;2544;2085;;;;;;;;;;;;;;;;;;;;;;
satchmorun;1;2089;;;;;;;;;;;;;;;;;;;;;;;
cironunes;20;14157;11294;11285;10345;10338;10337;10336;9715;9604;9475;9024;8643;8625;6519;5894;5764;3859;3292;3291;2099;;;;
caiotoon;5;5609;4614;4580;2223;2105;;;;;;;;;;;;;;;;;;;
nieldlr;1;2110;;;;;;;;;;;;;;;;;;;;;;;
Schibum;1;2114;;;;;;;;;;;;;;;;;;;;;;;
lancevo;1;2116;;;;;;;;;;;;;;;;;;;;;;;
escalant3;2;6418;2117;;;;;;;;;;;;;;;;;;;;;;
jasonm;1;2119;;;;;;;;;;;;;;;;;;;;;;;
mbarzeev;1;2126;;;;;;;;;;;;;;;;;;;;;;;
kivikakk;3;2183;2179;2143;;;;;;;;;;;;;;;;;;;;;
sujeetpillai;1;2148;;;;;;;;;;;;;;;;;;;;;;;
De-Luxis;2;2158;2157;;;;;;;;;;;;;;;;;;;;;;
ineedfat;1;2162;;;;;;;;;;;;;;;;;;;;;;;
MihaiValentin;1;2163;;;;;;;;;;;;;;;;;;;;;;;
henrikhulgaard;2;2188;2165;;;;;;;;;;;;;;;;;;;;;;
millette;1;2178;;;;;;;;;;;;;;;;;;;;;;;
brunocoelho;5;11645;3250;2376;2354;2180;;;;;;;;;;;;;;;;;;;
jmendiara;2;11386;2181;;;;;;;;;;;;;;;;;;;;;;
mchapman;1;2187;;;;;;;;;;;;;;;;;;;;;;;
jasonals;2;3556;2198;;;;;;;;;;;;;;;;;;;;;;
yang-qu;1;2199;;;;;;;;;;;;;;;;;;;;;;;
pborreli;1;2202;;;;;;;;;;;;;;;;;;;;;;;
markdalgleish;1;2203;;;;;;;;;;;;;;;;;;;;;;;
MattMcComb;1;2205;;;;;;;;;;;;;;;;;;;;;;;
skusunam;1;2208;;;;;;;;;;;;;;;;;;;;;;;
eval;1;2212;;;;;;;;;;;;;;;;;;;;;;;
houqp;1;2217;;;;;;;;;;;;;;;;;;;;;;;
FelipeLahti;2;2236;2227;;;;;;;;;;;;;;;;;;;;;;
kamagatos;2;2234;2229;;;;;;;;;;;;;;;;;;;;;;
Tuch;1;2231;;;;;;;;;;;;;;;;;;;;;;;
theoreticaLee;1;2238;;;;;;;;;;;;;;;;;;;;;;;
scomma;2;2242;2241;;;;;;;;;;;;;;;;;;;;;;
maxisam;1;2245;;;;;;;;;;;;;;;;;;;;;;;
heath;1;2251;;;;;;;;;;;;;;;;;;;;;;;
aostrega;2;2259;2254;;;;;;;;;;;;;;;;;;;;;;
joelwreed;1;2255;;;;;;;;;;;;;;;;;;;;;;;
urenmj;1;2261;;;;;;;;;;;;;;;;;;;;;;;
alexlamsl;2;2271;2270;;;;;;;;;;;;;;;;;;;;;;
thiloplanz;1;2277;;;;;;;;;;;;;;;;;;;;;;;
davesque;2;3293;2279;;;;;;;;;;;;;;;;;;;;;;
kevin-wells-iq4bis;1;2280;;;;;;;;;;;;;;;;;;;;;;;
cburgdorf;9;5507;5485;5101;4963;4043;3730;3219;2381;2284;;;;;;;;;;;;;;;
jrschumacher;1;2288;;;;;;;;;;;;;;;;;;;;;;;
ben-carson;1;2290;;;;;;;;;;;;;;;;;;;;;;;
wbyoko;10;13862;13861;6851;6850;6849;6848;6847;6846;6500;2292;;;;;;;;;;;;;;
austingreco;1;2294;;;;;;;;;;;;;;;;;;;;;;;
wzr1337;1;2298;;;;;;;;;;;;;;;;;;;;;;;
ejain;1;2305;;;;;;;;;;;;;;;;;;;;;;;
hlobil;1;2306;;;;;;;;;;;;;;;;;;;;;;;
tmatsuo;1;2307;;;;;;;;;;;;;;;;;;;;;;;
winkler1;2;6874;2311;;;;;;;;;;;;;;;;;;;;;;
OrenAvissar;4;2651;2580;2494;2312;;;;;;;;;;;;;;;;;;;;
lazybean;1;2313;;;;;;;;;;;;;;;;;;;;;;;
brent-morrow;8;2342;2326;2325;2324;2323;2317;2316;2315;;;;;;;;;;;;;;;;
zetay;1;2320;;;;;;;;;;;;;;;;;;;;;;;
EmilienCo;1;2327;;;;;;;;;;;;;;;;;;;;;;;
olostan;3;5335;4446;2331;;;;;;;;;;;;;;;;;;;;;
colinkahn;2;2534;2337;;;;;;;;;;;;;;;;;;;;;;
mrlucmorin;3;2807;2741;2338;;;;;;;;;;;;;;;;;;;;;
tojochacko;1;2353;;;;;;;;;;;;;;;;;;;;;;;
kowskis;1;2357;;;;;;;;;;;;;;;;;;;;;;;
