"rails";18781;3;1
"rails";11561;10;1
"rails";15076;3;1
"rails";10001;6;1
"rails";8301;5;1
"rails";7348;8;1
"react";8524;1;1
"react";7577;8;3
"react";536;11;2
"react";3403;3;1
"react";3127;2;0
"react";2086;4;1
"react";2876;4;15
"react";5528;8;1
"react";5257;13;1
"react";7731;1;1
"react";7226;3;3
"react";5647;9;2
"redis";1037;0;1
"redis";3380;2;0
"redis";2797;1;1
"redis";657;1;1
"redis";2913;2;1
"redis";225;2;2
"redis";1718;1;1
"scikit-learn";7312;6;5
"scikit-learn";7424;4;0
"scikit-learn";4621;44;10
"scikit-learn";5951;1;1
"scikit-learn";4968;8;3
"scikit-learn";2677;2;0
"scikit-learn";6011;0;1
"scikit-learn";6223;2;1
"scikit-learn";6028;16;1
"scikit-learn";6720;1;1
"scikit-learn";3733;8;15
"scikit-learn";4435;14;1
"spring-framework";60;4;0
"spring-framework";763;3;1
"spring-framework";11;3;2
"spring-framework";711;0;1
"tensorflow";2002;86;12
"tensorflow";6848;4;1
"tensorflow";3229;10;1
"tensorflow";6302;5;1
"tensorflow";1659;5;0
"kubernetes";6659;4;1
"kubernetes";23910;10;3
"kubernetes";41291;3;1
"kubernetes";40677;10;1
"kubernetes";12608;12;0
"kubernetes";28837;18;3
"kubernetes";23857;6;1
"kubernetes";12982;3;1
